id, name, complexity, runtime, memory
1, "Two Sum", Easy, 67.26, 42.44
2, "Add Two Numbers", Medium, 93.51, 68.17
3, "Longest Substring Without Repeating Characters", Medium, 39.18, 58.86
4, "Median of Two Sorted Arrays", Hard, 93.30, 69.77
5, "Longest Palindromic Substring", Medium, 44.30, 65.33
6, "Zigzag Conversion", Medium, 93.4, 77.81
7, "Reverse Integer", Medium, 71.22, 72.83
8, "String to Integer (atoi)", Medium, 50.32, 74.75
9, "Palindrome Number", Easy, 47.54, 95.65
11, "Container With Most Water", Medium, 9.31, 53.96
12, "Integer to Roman", Medium, 65.4, 53.06
13, "Roman to Integer", Easy, 96.24, 71.49
14, "Longest Common Prefix", Easy, 35.57, 74.33
15, "3Sum", Medium, 38.6, 95.73
17, "Letter Combinations of a Phone Number", Medium, 24.65, 87.9
19, "Remove Nth Node From End of List", Medium, 85.26, 79.96
20, "Valid Parentheses", Easy, 93.72, 16.65
21, "Merge Two Sorted Lists", Easy, 90.22, 79.17
22, "Generate Parentheses", Medium, 81.8, 38.80
26, "Remove Duplicates from Sorted Array", Easy, 68.42, 32.7
27, "Remove Element", Easy, 79.75, 54.59
28, "Find the Index of the First Occurrence in a String", Easy, 35.65, 59.93
29, "Divide Two Integers", Medium, 87.20, 18.45
34, "Find First and Last Position of Element in Sorted Array", Medium, 64.79, 19.95
36, "Valid Sudoku", Medium, 96.89, 80.88
38, "Count and Say", Medium, 78.92, 43.87
41, "First Missing Positive", Hard, 59.81, 65.83
46, "Permutations", Medium, 76, 15.8
48, "Rotate Image", Medium, 87.90, 24.84
49, "Group Anagrams", Medium, 99.84, 54.77
53, "Maximum Subarray", Medium, 98.24, 94.87
54, "Spiral Matrix", Medium, 63.1, 69.18
61, "Rotate List", Medium, 82.72, 64.05
62, "Unique Paths", Medium, 94.99, 80.87
63, "Unique Paths II", Medium, 86.72, 55.28
66, "Plus One", Easy, 76.84, 72.62
67, "Add Binary", Easy, 57.49, 55.99
69, "Sqrt(x)", Easy, 81.47, 36.86
70, "Climbing Stairs", Easy, 82.33, 11.25
71, "Simplify Path", Medium, 75.51, 29.9
75, "Sort Colors", Medium, 67.48, 86.96
78, "Subsets", Medium, 39.44, 88.91
80, "Remove Duplicates from Sorted Array II", Medium, 86.31, 25.22
88, "Merge Sorted Array", Easy, 64.63, 52.22
92, "Reverse Linked List 2", Medium, 95.25, 81.51
100, "Same Tree", Easy, 76.82, 25.43
104, "Maximum Depth of Binary Tree", Easy, 69.76, 76.20
118, "Pascals Triangle", Easy, 99.67, 43.97
121, "Best Time to Buy and Sell Stock", Easy, 93.48, 74.97
125, "Valid Palindrome", Easy, 82.5, 74.8
129, "Sum Root to Leaf Numbers", Medium, 65.27, 62.72
131, "Palindrome Partitioning", Medium, 23.69, 38.8
135, "Candy", Hard, 91.7, 91.7
141, "Linked List Cycle", Easy, 87.84, 68.78
143, "Reorder List", Medium, 91.77, 95.15
146, "LRU Cache", Medium, 38.56, 80.39
150, "Evaluate Reverse Polish Notation", Medium, 89.19, 38.16
151, "Reverse Words in a String", Medium, 90.79, 71.85
155, "Min Stack", Medium, 81.94, 24.84
165, "Compare Version Numbers", Medium, 96.63, 37.74
189, "Rotate Array", Medium, 53.41, 50.77
205, "Isomorphic Strings", Easy, 89.28, 85.83
206, "Reverse Linked List", Easy, 98.97, 83.91
208, "Implement Trie", Medium, 67.72, 94.42
211, "Design Add and Search Words Data Structure", Medium, 90.66, 74.45
215, "Kth Largest Element in an Array", Medium, 67.8, 54.78
225, "Implement Stack using Queues", Easy, 94.84, 54.52
229, "Majority Element 2", Medium, 98.72, 52.56
232, "Implement Queue using Stacks", Easy, 66.73, 13.38
238, "Product of Array Except Self", Medium, 74.67, 43.96
258, "Add Digits", Easy, 90.13, 43.31
300, "Longest Increasing Subsequence", Medium, 78.29, 17.44
316, "Remove Duplicate Letters", Medium, 74.36, 60.26
321, "Create Maximum Number", Hard, 25.00, 8.33
328, "Odd Even Linked List", Medium, 86.71, 46.4
334, "Increasing Triplet Subsequence", Medium, 70.61, 85.16
341, "Flatten Nested List Iterator", Medium, 96.83, 65.08
345, "Reverse Vowels of a String", Easy, 85.11, 96.7
347, "Top K Frequent Elements", Medium, 74.73, 54.83
